id;name;address;phone;email;description;language;activated
1;initiative;Riel projection Rubber;"6";"xYGZA@PBCW";invoice Compatible;SPANISH;false
2;revolutionize Orchestrator Marketing;Web;"8";"Oe1F@YG8fIp";Djibouti navigate alliance;SPANISH;false
3;Planner;transmit Global transitional;"1";"JRj@P-0X4m";Garden;SPANISH;true
4;Awesome South;Avon architectures compress;"6";"Nz@nhAgMQa";connect;ENGLISH;true
5;Gold Multi-lateral paradigms;Practical;"1";"rlFmO.@fPOqjcYYN";payment;ENGLISH;true
6;leverage;convergence TCP;"2";"ZI@QA Q";transmit Principal Granite;ENGLISH;true
7;interactive Fundamental;and quantifying Legacy;"1";"4@ycJygFybN";Kids functionalities;ENGLISH;true
8;violet;Towels;"+92";"BB3M@T3KrX";bluetooth;SPANISH;false
9;blockchains;calculate;"7";"oKE@cPk|5P0PL9";Buckinghamshire;JAPANESE;true
10;recontextualize Applications Intranet;GB Nevada;"+28";"+lb@PJHvv=Q-";auxiliary User-centric Licensed;SPANISH;false
